EXP;SimulationFolder;Scenario;ProbeID;Timestamp;Free Flow Speed [m/sec];Jam Density;Opt Density;N Generations;N Repeat;N Population;N MatingParents;k Selection;Mutation Probabilities;RMSE (NonMaked);MAE (NonMaked);RMSE (Masked);MAE (Masked);CTM RMSE (Masked);CTM MAE (Masked);GAFitness;CTMFitness
45;Scenario-3_test13_958-986;Scenario-3;test13;958-986;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.03705348437947311;0.01911876071116491;0.005368570399367142;0.002858073929580244;0.011536035082902425;0.005732965685045018;-0.005454597694621421;-0.01577897835550107
46;Scenario-3_test14_1055-1085;Scenario-3;test14;1055-1085;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.05271734499956335;0.043082929634674784;0.0027180673615141196;0.0006617380023548938;0.0031059021960994425;0.0005683499856966941;-0.0037206721609049477;-0.00438659623050942
47;Scenario-3_test15_1118-1147;Scenario-3;test15;1118-1147;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.04656090701112733;0.03653427575643806;0.001100073375871295;0.00031724638282727165;0.004850215065592342;0.0008433460504151485;-0.0017192095336543598;-0.01399640596096178
48;Scenario-3_test16_1197-1199;Scenario-3;test16;1197-1199;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.05205530330765556;0.02664071736495059;0.008066069658870604;0.003642051652739097;0.0;0.0;-5.96053492108111e-05;-0.0
49;Scenario-3_test1_97-127;Scenario-3;test1;97-127;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.04975001104350441;0.036913850297338714;0.0008631702482718384;0.0002203709936439898;0.005583945693058109;0.001038711208253669;-0.0023369002796798186;-0.012673638959520676
50;Scenario-3_test2_174-204;Scenario-3;test2;174-204;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.03327248573550871;0.017314368881635164;0.004535065675181741;0.002077708624287388;0.010362997368090675;0.0038907629083117217;-0.005546725545450888;-0.01696887546694647
51;Scenario-3_test3_237-265;Scenario-3;test3;237-265;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.04503456855678533;0.023481461998896756;0.004352560207179116;0.0021921265265659714;0.007562277324344601;0.0034459539537883143;-0.004803612622214387;-0.008891546337163008
52;Scenario-3_test4_297-326;Scenario-3;test4;297-326;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.03390477126680592;0.01707024186959912;0.003381483742441314;0.001559768119336027;0.008785988927635713;0.0035521113285903387;-0.0028608109108188987;-0.0109690938963709
53;Scenario-3_test5_385-398;Scenario-3;test5;385-398;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.007286899947266966;0.005200282372609874;0.003052627561357401;0.0013080140373658347;0.0035098811786465098;0.0016396866486563032;-0.005616649566417051;-0.006306327780942053
54;Scenario-3_test6_451-480;Scenario-3;test6;451-480;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.05530343561514806;0.04163501036394481;0.004987811898047052;0.001397271955479209;0.00385020436584445;0.0009044427509539575;-0.005270033114900991;-0.012946135197670515
