,SCNFolder,space,time,x-1,x,x+1,t+1
97,Scenario-5_test13_792-802,"(40.0, 60.0]","(792.0, 794.0]",0.05576356249502113,0.0625,0.057179615467085956,0.03643484993396184
98,Scenario-5_test13_792-802,"(20.0, 40.0]","(794.0, 796.0]",0.06616081212396882,0.0625,0.03643484993396184,0.05727494016814286
99,Scenario-5_test14_847-857,"(40.0, 60.0]","(847.0, 849.0]",0.05610885117127226,0.0375,0.032206119162640906,0.0317334391114637
100,Scenario-5_test14_847-857,"(20.0, 40.0]","(849.0, 851.0]",0.058125454105110205,0.0625,0.0317334391114637,0.054977419988219124
101,Scenario-5_test15_926-935,"(40.0, 60.0]","(926.0, 928.0]",0.10161608660817226,0.1,0.10555862102055996,0.10818608005769925
102,Scenario-5_test15_926-935,"(20.0, 40.0]","(928.0, 930.0]",0.06695821388964449,0.1125,0.10818608005769925,0.09697610861324164
103,Scenario-5_test16_995-1005,"(40.0, 60.0]","(995.0, 997.0]",0.09788127816635737,0.06875,0.06358145238203372,0.07839448102853559
104,Scenario-5_test16_995-1005,"(20.0, 40.0]","(997.0, 999.0]",0.08494572911750826,0.075,0.07839448102853559,0.0564373897707231
105,Scenario-5_test17_1037-1046,"(40.0, 60.0]","(1037.0, 1039.0]",0.06979449398991858,0.05,0.05845389449072045,0.054519433906544616
106,Scenario-5_test17_1037-1046,"(20.0, 40.0]","(1039.0, 1041.0]",0.04969149861277899,0.0625,0.054519433906544616,0.05320681934067883
107,Scenario-5_test18_1089-1098,"(40.0, 60.0]","(1089.0, 1091.0]",0.03869819279439649,0.05625,0.05000250012500626,0.029207740051113543
108,Scenario-5_test18_1089-1098,"(20.0, 40.0]","(1091.0, 1093.0]",0.06335379132844982,0.05625,0.029207740051113543,0.05702066999287242
109,Scenario-5_test19_1155-1165,"(40.0, 60.0]","(1155.0, 1157.0]",0.04597489770585259,0.05625,0.0801956774529853,0.06828528072837632
110,Scenario-5_test2_129-140,"(40.0, 60.0]","(129.0, 131.0]",0.05045917852457363,0.0625,0.03757985719654265,0.06688627660819692
111,Scenario-5_test3_192-202,"(40.0, 60.0]","(192.0, 194.0]",0.04124561765312436,0.05,0.03723701359150995,0.056252856590373726
112,Scenario-5_test5_324-334,"(40.0, 60.0]","(324.0, 326.0]",0.08124943576780719,0.1,0.09758477677482313,0.11511895625479664
113,Scenario-5_test5_324-334,"(20.0, 40.0]","(326.0, 328.0]",0.07159294298133469,0.06875,0.11511895625479664,0.08338070873602427
114,Scenario-5_test6_370-380,"(40.0, 60.0]","(370.0, 372.0]",0.05087009050636936,0.05,0.03547199929056001,0.05192894389510354
115,Scenario-5_test6_370-380,"(20.0, 40.0]","(372.0, 374.0]",0.05217391304347826,0.04375,0.05192894389510354,0.05537536587295309
116,Scenario-5_test7_430-440,"(40.0, 60.0]","(430.0, 432.0]",0.060383434811050164,0.0375,0.038073481819912436,0.05914972273567466
117,Scenario-5_test8_500-509,"(40.0, 60.0]","(500.0, 502.0]",0.06955715279387897,0.0625,0.11881776325560674,0.07403465747403003
118,Scenario-5_test8_500-509,"(20.0, 40.0]","(502.0, 504.0]",0.05705552725420275,0.05,0.07403465747403003,0.0717891194615816
119,Scenario-5_test9_572-583,"(40.0, 60.0]","(572.0, 574.0]",0.12892966886563378,0.075,0.06874033339061693,0.0765696784073507
120,Scenario-5_test9_572-583,"(20.0, 40.0]","(574.0, 576.0]",0.09883376161296702,0.1,0.0765696784073507,0.10430429038314443
121,Scenario-6_test0_21-36,"(40.0, 60.0]","(25.0, 27.0]",0.02212103895146275,0.05625,0.06804043545878696,0.032428050263477906
122,Scenario-6_test1_112-144,"(40.0, 60.0]","(112.0, 114.0]",0.048484848484848485,0.0375,0.038812342324859306,0.05626406601650413
123,Scenario-6_test1_112-144,"(20.0, 40.0]","(118.0, 120.0]",0.050761421319796954,0.05,0.04240282685512368,0.05
124,Scenario-6_test1_112-144,"(20.0, 40.0]","(120.0, 122.0]",0.01950078003120125,0.05,0.05820721769499418,0.025
125,Scenario-6_test1_112-144,"(20.0, 40.0]","(122.0, 124.0]",0.05782296535440657,0.025,0.06606231878738945,0.05
126,Scenario-6_test1_112-144,"(20.0, 40.0]","(124.0, 126.0]",0.03849670371974401,0.05,0.029391234064440275,0.0375
127,Scenario-6_test1_112-144,"(20.0, 40.0]","(126.0, 128.0]",0.05773672055427254,0.0375,0.05878894767783655,0.05625
128,Scenario-6_test1_112-144,"(20.0, 40.0]","(128.0, 130.0]",0.057460256655813086,0.05625,0.03687859566307714,0.04375
129,Scenario-6_test1_112-144,"(20.0, 40.0]","(130.0, 132.0]",0.045831614647784055,0.04375,0.053473893281387255,0.05
130,Scenario-6_test1_112-144,"(20.0, 40.0]","(132.0, 134.0]",0.04673807205452775,0.05,0.04479283314669652,0.05
131,Scenario-6_test10_766-799,"(40.0, 60.0]","(766.0, 768.0]",0.06116876024030585,0.05625,0.04281555060798082,0.053182396626716553
132,Scenario-6_test10_766-799,"(20.0, 40.0]","(768.0, 770.0]",0.05896516141712937,0.06875,0.053182396626716553,0.05625
133,Scenario-6_test11_827-854,"(40.0, 60.0]","(827.0, 829.0]",0.04089143324473522,0.05625,0.035852734891433445,0.04151530877010898
134,Scenario-6_test11_827-854,"(20.0, 40.0]","(829.0, 831.0]",0.06325396466814258,0.05,0.04151530877010898,0.04744020557422416
135,Scenario-6_test12_891-922,"(40.0, 60.0]","(891.0, 893.0]",0.040467398452122,0.04375,0.03825554705432288,0.03981221903355839
136,Scenario-6_test12_891-922,"(20.0, 40.0]","(895.0, 897.0]",0.06367849435737785,0.05,0.040541225358536465,0.05625
137,Scenario-6_test2_201-217,"(40.0, 60.0]","(205.0, 207.0]",0.029081391544585417,0.0625,0.049645037978454036,0.038380963042331004
138,Scenario-6_test3_280-314,"(40.0, 60.0]","(280.0, 282.0]",0.05517458816110981,0.0375,0.058018662669825465,0.06514961142910328
139,Scenario-6_test3_280-314,"(20.0, 40.0]","(282.0, 284.0]",0.03254347605003559,0.04375,0.06514961142910328,0.02978961087320797
140,Scenario-6_test4_341-373,"(40.0, 60.0]","(341.0, 343.0]",0.05776888320369722,0.05625,0.06282393591958535,0.06012970837091439
141,Scenario-6_test4_341-373,"(20.0, 40.0]","(343.0, 345.0]",0.05253020486779899,0.05625,0.06012970837091439,0.048814504881450484
142,Scenario-6_test5_408-439,"(20.0, 40.0]","(410.0, 412.0]",0.05625087891998313,0.04375,0.0360173783850708,0.0625
143,Scenario-6_test6_478-508,"(20.0, 40.0]","(498.0, 500.0]",0.062037488367970926,0.0625,0.04718279400778516,0.0625
144,Scenario-6_test7_568-600,"(20.0, 40.0]","(572.0, 574.0]",0.03940032702271428,0.0625,0.056171885971071485,0.05922917459914541
145,Scenario-6_test9_709-739,"(40.0, 60.0]","(709.0, 711.0]",0.046379500260884686,0.05625,0.048460177848852704,0.043455588388666776
146,Scenario-6_test9_709-739,"(20.0, 40.0]","(711.0, 713.0]",0.05160180606321221,0.05625,0.043455588388666776,0.0515646653130942
147,Scenario-7_test0_5-14,"(40.0, 60.0]","(5.0, 7.0]",0.0,0.0,0.0,0.0
148,Scenario-7_test0_5-14,"(20.0, 40.0]","(7.0, 9.0]",0.0,0.0,0.0,0.0
149,Scenario-7_test11_672-682,"(40.0, 60.0]","(672.0, 674.0]",0.019835366458395315,0.03125,0.022792022792022797,0.0283376430165421
150,Scenario-7_test12_727-736,"(20.0, 40.0]","(729.0, 731.0]",0.0,0.04375,0.0310494721589733,0.0
