,SCNFolder,space,time,x-1,x,x+1,t+1
143,Scenario-1_test15_921-938,"(60.0, 80.0]","(921.0, 923.0]",0.1,0.1375,0.0875,0.1
144,Scenario-1_test15_921-938,"(20.0, 40.0]","(923.0, 925.0]",0.05,0.0625,0.1375,0.09375
145,Scenario-1_test15_921-938,"(40.0, 60.0]","(923.0, 925.0]",0.0625,0.1375,0.1,0.1
146,Scenario-1_test15_921-938,"(60.0, 80.0]","(923.0, 925.0]",0.1375,0.1,0.075,0.1125
147,Scenario-1_test15_921-938,"(20.0, 40.0]","(925.0, 927.0]",0.05625,0.09375,0.1,0.13125
148,Scenario-1_test15_921-938,"(40.0, 60.0]","(925.0, 927.0]",0.09375,0.1,0.1125,0.1
149,Scenario-1_test15_921-938,"(60.0, 80.0]","(925.0, 927.0]",0.1,0.1125,0.075,0.075
150,Scenario-1_test15_921-938,"(20.0, 40.0]","(927.0, 929.0]",0.06875,0.13125,0.1,0.1
151,Scenario-1_test15_921-938,"(40.0, 60.0]","(927.0, 929.0]",0.13125,0.1,0.075,0.1125
152,Scenario-1_test15_921-938,"(60.0, 80.0]","(927.0, 929.0]",0.1,0.075,0.075,0.06875
153,Scenario-1_test15_921-938,"(20.0, 40.0]","(929.0, 931.0]",0.08125,0.1,0.1125,0.125
154,Scenario-1_test15_921-938,"(40.0, 60.0]","(929.0, 931.0]",0.1,0.1125,0.06875,0.075
155,Scenario-1_test15_921-938,"(60.0, 80.0]","(929.0, 931.0]",0.1125,0.06875,0.06875,0.0625
156,Scenario-1_test15_921-938,"(20.0, 40.0]","(931.0, 933.0]",0.0875,0.125,0.075,0.10625
157,Scenario-1_test15_921-938,"(40.0, 60.0]","(931.0, 933.0]",0.125,0.075,0.0625,0.075
158,Scenario-1_test15_921-938,"(60.0, 80.0]","(931.0, 933.0]",0.075,0.0625,0.0625,0.0625
159,Scenario-1_test15_921-938,"(20.0, 40.0]","(933.0, 935.0]",0.1,0.10625,0.075,0.06875
160,Scenario-1_test15_921-938,"(40.0, 60.0]","(933.0, 935.0]",0.10625,0.075,0.0625,0.075
161,Scenario-1_test15_921-938,"(60.0, 80.0]","(933.0, 935.0]",0.075,0.0625,0.05625,0.05
162,Scenario-1_test15_921-938,"(20.0, 40.0]","(935.0, 937.0]",0.1125,0.06875,0.075,0.08125
163,Scenario-1_test15_921-938,"(40.0, 60.0]","(935.0, 937.0]",0.06875,0.075,0.05,0.06875
164,Scenario-1_test15_921-938,"(60.0, 80.0]","(935.0, 937.0]",0.075,0.05,0.0625,0.0625
165,Scenario-1_test16_981-996,"(20.0, 40.0]","(981.0, 983.0]",0.05625,0.075,0.0625,0.075
166,Scenario-1_test16_981-996,"(40.0, 60.0]","(981.0, 983.0]",0.075,0.0625,0.15,0.1
167,Scenario-1_test16_981-996,"(60.0, 80.0]","(981.0, 983.0]",0.0625,0.15,0.09375,0.1
168,Scenario-1_test16_981-996,"(20.0, 40.0]","(983.0, 985.0]",0.0625,0.075,0.1,0.05
169,Scenario-1_test16_981-996,"(40.0, 60.0]","(983.0, 985.0]",0.075,0.1,0.1,0.125
170,Scenario-1_test16_981-996,"(60.0, 80.0]","(983.0, 985.0]",0.1,0.1,0.1,0.125
171,Scenario-1_test16_981-996,"(20.0, 40.0]","(985.0, 987.0]",0.075,0.05,0.125,0.1
172,Scenario-1_test16_981-996,"(40.0, 60.0]","(985.0, 987.0]",0.05,0.125,0.125,0.1
173,Scenario-1_test16_981-996,"(60.0, 80.0]","(985.0, 987.0]",0.125,0.125,0.06875,0.1
174,Scenario-1_test16_981-996,"(20.0, 40.0]","(987.0, 989.0]",0.05,0.1,0.1,0.10625
175,Scenario-1_test16_981-996,"(40.0, 60.0]","(987.0, 989.0]",0.1,0.1,0.1,0.125
176,Scenario-1_test16_981-996,"(60.0, 80.0]","(987.0, 989.0]",0.1,0.1,0.06875,0.075
177,Scenario-1_test16_981-996,"(20.0, 40.0]","(989.0, 991.0]",0.05625,0.10625,0.125,0.1
178,Scenario-1_test16_981-996,"(40.0, 60.0]","(989.0, 991.0]",0.10625,0.125,0.075,0.1
179,Scenario-1_test16_981-996,"(60.0, 80.0]","(989.0, 991.0]",0.125,0.075,0.06875,0.08125
180,Scenario-1_test16_981-996,"(20.0, 40.0]","(991.0, 993.0]",0.09375,0.1,0.1,0.1125
181,Scenario-1_test16_981-996,"(40.0, 60.0]","(991.0, 993.0]",0.1,0.1,0.08125,0.075
182,Scenario-1_test16_981-996,"(60.0, 80.0]","(991.0, 993.0]",0.1,0.08125,0.05625,0.075
183,Scenario-1_test16_981-996,"(20.0, 40.0]","(993.0, 995.0]",0.1,0.1125,0.075,0.1
184,Scenario-1_test16_981-996,"(40.0, 60.0]","(993.0, 995.0]",0.1125,0.075,0.075,0.06875
185,Scenario-1_test16_981-996,"(60.0, 80.0]","(993.0, 995.0]",0.075,0.075,0.05625,0.0625
186,Scenario-1_test17_1041-1057,"(20.0, 40.0]","(1041.0, 1043.0]",0.04375,0.05625,0.09375,0.06875
187,Scenario-1_test17_1041-1057,"(40.0, 60.0]","(1041.0, 1043.0]",0.05625,0.09375,0.13125,0.13125
188,Scenario-1_test17_1041-1057,"(60.0, 80.0]","(1041.0, 1043.0]",0.09375,0.13125,0.10625,0.1
189,Scenario-1_test17_1041-1057,"(20.0, 40.0]","(1043.0, 1045.0]",0.0375,0.06875,0.13125,0.0875
190,Scenario-1_test17_1041-1057,"(40.0, 60.0]","(1043.0, 1045.0]",0.06875,0.13125,0.1,0.1
191,Scenario-1_test17_1041-1057,"(60.0, 80.0]","(1043.0, 1045.0]",0.13125,0.1,0.0875,0.125
192,Scenario-1_test17_1041-1057,"(20.0, 40.0]","(1045.0, 1047.0]",0.03125,0.0875,0.1,0.06875
193,Scenario-1_test17_1041-1057,"(40.0, 60.0]","(1045.0, 1047.0]",0.0875,0.1,0.125,0.13125
194,Scenario-1_test17_1041-1057,"(60.0, 80.0]","(1045.0, 1047.0]",0.1,0.125,0.075,0.09375
195,Scenario-1_test17_1041-1057,"(20.0, 40.0]","(1047.0, 1049.0]",0.05,0.06875,0.13125,0.09375
196,Scenario-1_test17_1041-1057,"(40.0, 60.0]","(1047.0, 1049.0]",0.06875,0.13125,0.09375,0.13125
197,Scenario-1_test17_1041-1057,"(60.0, 80.0]","(1047.0, 1049.0]",0.13125,0.09375,0.05,0.06875
198,Scenario-1_test17_1041-1057,"(20.0, 40.0]","(1049.0, 1051.0]",0.05625,0.09375,0.13125,0.11875
199,Scenario-1_test17_1041-1057,"(40.0, 60.0]","(1049.0, 1051.0]",0.09375,0.13125,0.06875,0.1
200,Scenario-1_test17_1041-1057,"(60.0, 80.0]","(1049.0, 1051.0]",0.13125,0.06875,0.05625,0.0625
201,Scenario-1_test17_1041-1057,"(20.0, 40.0]","(1051.0, 1053.0]",0.05625,0.11875,0.1,0.125
202,Scenario-1_test17_1041-1057,"(40.0, 60.0]","(1051.0, 1053.0]",0.11875,0.1,0.0625,0.0875
203,Scenario-1_test17_1041-1057,"(60.0, 80.0]","(1051.0, 1053.0]",0.1,0.0625,0.05,0.05625
204,Scenario-1_test17_1041-1057,"(20.0, 40.0]","(1053.0, 1055.0]",0.0625,0.125,0.0875,0.1
205,Scenario-1_test17_1041-1057,"(40.0, 60.0]","(1053.0, 1055.0]",0.125,0.0875,0.05625,0.06875
206,Scenario-1_test17_1041-1057,"(60.0, 80.0]","(1053.0, 1055.0]",0.0875,0.05625,0.0625,0.0625
207,Scenario-1_test18_1101-1117,"(20.0, 40.0]","(1101.0, 1103.0]",0.05,0.05625,0.09375,0.05625
208,Scenario-1_test18_1101-1117,"(40.0, 60.0]","(1101.0, 1103.0]",0.05625,0.09375,0.1375,0.13125
209,Scenario-1_test18_1101-1117,"(60.0, 80.0]","(1101.0, 1103.0]",0.09375,0.1375,0.075,0.1
210,Scenario-1_test18_1101-1117,"(20.0, 40.0]","(1103.0, 1105.0]",0.0625,0.05625,0.13125,0.08125
211,Scenario-1_test18_1101-1117,"(40.0, 60.0]","(1103.0, 1105.0]",0.05625,0.13125,0.1,0.11875
212,Scenario-1_test18_1101-1117,"(60.0, 80.0]","(1103.0, 1105.0]",0.13125,0.1,0.0875,0.1125
213,Scenario-1_test18_1101-1117,"(20.0, 40.0]","(1105.0, 1107.0]",0.05,0.08125,0.11875,0.1
214,Scenario-1_test18_1101-1117,"(40.0, 60.0]","(1105.0, 1107.0]",0.08125,0.11875,0.1125,0.1
215,Scenario-1_test18_1101-1117,"(60.0, 80.0]","(1105.0, 1107.0]",0.11875,0.1125,0.06875,0.1
216,Scenario-1_test18_1101-1117,"(20.0, 40.0]","(1107.0, 1109.0]",0.075,0.1,0.1,0.1
217,Scenario-1_test18_1101-1117,"(40.0, 60.0]","(1107.0, 1109.0]",0.1,0.1,0.1,0.125
218,Scenario-1_test18_1101-1117,"(60.0, 80.0]","(1107.0, 1109.0]",0.1,0.1,0.05,0.08125
219,Scenario-1_test18_1101-1117,"(20.0, 40.0]","(1109.0, 1111.0]",0.05,0.1,0.125,0.1
220,Scenario-1_test18_1101-1117,"(40.0, 60.0]","(1109.0, 1111.0]",0.1,0.125,0.08125,0.09375
221,Scenario-1_test18_1101-1117,"(60.0, 80.0]","(1109.0, 1111.0]",0.125,0.08125,0.05625,0.0625
222,Scenario-1_test18_1101-1117,"(20.0, 40.0]","(1111.0, 1113.0]",0.1,0.1,0.09375,0.11875
223,Scenario-1_test18_1101-1117,"(40.0, 60.0]","(1111.0, 1113.0]",0.1,0.09375,0.0625,0.08125
224,Scenario-1_test18_1101-1117,"(60.0, 80.0]","(1111.0, 1113.0]",0.09375,0.0625,0.05625,0.0625
225,Scenario-1_test18_1101-1117,"(20.0, 40.0]","(1113.0, 1115.0]",0.08125,0.11875,0.08125,0.09375
226,Scenario-1_test18_1101-1117,"(40.0, 60.0]","(1113.0, 1115.0]",0.11875,0.08125,0.0625,0.05625
227,Scenario-1_test18_1101-1117,"(60.0, 80.0]","(1113.0, 1115.0]",0.08125,0.0625,0.05625,0.05625
228,Scenario-1_test19_1161-1176,"(20.0, 40.0]","(1161.0, 1163.0]",0.04375,0.05,0.1,0.05625
229,Scenario-1_test19_1161-1176,"(40.0, 60.0]","(1161.0, 1163.0]",0.05,0.1,0.13125,0.14375
230,Scenario-1_test19_1161-1176,"(60.0, 80.0]","(1161.0, 1163.0]",0.1,0.13125,0.09375,0.1
231,Scenario-1_test19_1161-1176,"(20.0, 40.0]","(1163.0, 1165.0]",0.04375,0.05625,0.14375,0.08125
232,Scenario-1_test19_1161-1176,"(40.0, 60.0]","(1163.0, 1165.0]",0.05625,0.14375,0.1,0.1
233,Scenario-1_test19_1161-1176,"(60.0, 80.0]","(1163.0, 1165.0]",0.14375,0.1,0.08125,0.125
234,Scenario-1_test19_1161-1176,"(20.0, 40.0]","(1165.0, 1167.0]",0.04375,0.08125,0.1,0.09375
235,Scenario-1_test19_1161-1176,"(40.0, 60.0]","(1165.0, 1167.0]",0.08125,0.1,0.125,0.125
236,Scenario-1_test19_1161-1176,"(60.0, 80.0]","(1165.0, 1167.0]",0.1,0.125,0.075,0.0875
237,Scenario-1_test19_1161-1176,"(20.0, 40.0]","(1167.0, 1169.0]",0.05,0.09375,0.125,0.1
238,Scenario-1_test19_1161-1176,"(40.0, 60.0]","(1167.0, 1169.0]",0.09375,0.125,0.0875,0.125
239,Scenario-1_test19_1161-1176,"(60.0, 80.0]","(1167.0, 1169.0]",0.125,0.0875,0.0625,0.0625
